,nr,adres,typ,niep,granice
259,260,"Szkoła Podstawowa Nr 24, ul. Aleksandry 17, Kraków",Powszechny,Nie,Aleksandry od 1 do 7
260,261,"Szkoła Podstawowa Nr 24, ul. Aleksandry 17, Kraków",Powszechny,Nie,"Aleksandry od 9 do 23, Jerzmanowskiego 31, Podłęska"
261,262,"Szkoła Podstawowa Nr 41, ul. Jerzmanowskiego 6, Kraków",Powszechny,Nie,Lilli Wenedy (bez 1)
262,263,"Szkoła Podstawowa Nr 41, ul. Jerzmanowskiego 6, Kraków",Powszechny,Nie,"Jerzmanowskiego parzyste od 2 do 16, Lilli Wenedy 1"
263,264,"Szkoła Podstawowa Nr 41, Kraków Jerzmanowskiego 6",Powszechny,Nie,"Jerzmanowskiego parzyste od 18 do 26, Teligi parzyste od 30"
264,265,"szkoła Podstawowa nr 41, ul. Jerzmanowskiego 6, Kraków",Powszechny,Nie,"Konrada Wallenroda, Teligi parzyste od 2 do 6 i nieparzyste od 1"
265,266,"Szkoła Podstawowa Nr 117, ul. Kurczaba 15, Kraków",Powszechny,Nie,Kurczaba nieparzyste
266,267,"Szkoła Podstawowa Nr 117, ul. Kurczaba 15, Kraków",Powszechny,Nie,Kurczaba parzyste
267,268,"Szkoła Podstawowa Nr 117, ul. Kurczaba 15, Kraków",Powszechny,Nie,Teligi parzyste od 8 do 28
268,269,"Szkoła Podstawowa Nr 117, ul. Kurczaba 15, Kraków",Powszechny,Nie,"Jerzmanowskiego parzyste od 28 i nieparzyste 35, 39"
269,270,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 4, ul.Żabia 20, Kraków",Powszechny,Nie,"Badurskiego 13, 13c, 15, 15b, 16, 17, 17a, c, 19 , Jakubowskiego, Kostaneckiego, Kozietulskiego, Medyczna, Obronna od 1 do 8, Księdza Ściegiennego parzyste od 54 i nieparzyste od 43 (bez 57, 69, 71a, 73), Wielicka parzyste od 202 do 228 i nieparzyste od 261 do 265, Żabia"
270,271,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 4, ul. Żabia 20, Kraków",Powszechny,Nie,"Księdza Ściegiennego 57, 69, 71a, 73"
271,272,"Zespół Szkół Ogólnokształcących Nr 15, ul. Rydygiera 20, Kraków",Powszechny,Nie,"Czerwiakowskiego, Kosocicka parzyste od 2 do 70a, nieparzyste od 1 do 71, Schweitzera, Wielicka nieparzyste od 269"
272,273,"Zespół Szkół Ogólnokształcących Nr 15, ul. Rydygiera 20, Kraków",Powszechny,Nie,"Jana XXIII, Rydygiera, Księdza Prymasa Wyszyńskiego, Słona Woda parzyste"
273,274,"Młodzieżowy Dom Kultury - Filia, ul. Na Wrzosach 57, Kraków",Powszechny,Nie,"Bieżanowska 78, 78 a, 80, 80 a, 82, 82 a, 84, 84a, 84 b, 86, 86 b, 88, Górników, Jesienna, Muzyków, Nad Potokiem, Na Wrzosach nieparzyste od 55 i parzyste od 52, Okocimska, Snycerska nieparzyste od 41 i parzyste od 42, Księdza Ściegiennego nieparzyste od 1 do 41 i parzyste od 2 do 52 a"
274,275,"Szkoła Podstawowa Nr 61, ul. Popławskiego 17, Kraków",Powszechny,Nie,"Andrusikiewicza, Bielskiego, Bieżanowska nieparzyste od 71 do 153 e, parzyste od 60 do 126 h, (bez 78, 78 a, 80, 80 a, 82, 82 a, 84, 86, 88), Czechowicza, Darasza, Dubois, Generała Jasińskiego (bez 28, 30, 32, 34), Gierymskich parzyste, Kallimacha, Karpacka, Legionów, Małkowskiego, Marzanny, Młodzieży, Morawiańskiego, Podmiłów, Smolna, Sobesto, Solarzy, Udzieli, Wojnicka"
275,276,"Szkoła Podstawowa Nr 61, ul. Popławskiego 17, Kraków",Powszechny,Nie,"Balickiego, Bardowskiego, Bieżanowska nieparzyste od 1 do 69a parzyste od 2 do 58, Braterska, Chłopska, Gierymskich nieparzyste, Kolejowa (bez nr 4a), Konwaliowa, Mazurska, Mierosławskiego, Rożena, Ruciana, Rylskiego, Sacharowa, Siostrzana, Wielicka parzyste od 114 do 158, Za Lipkami, Żurawia"
276,277,"Szkoła Podstawowa Nr 61, ul. Popławskiego 17, Kraków",Powszechny,Nie,"Generała Jasińskiego 28, 30, 32, 34"
277,278,"Zespół Szkół Ogólnokształcących Nr 10, Al. Dygasińskiego 15, Kraków",Powszechny,Tak,"Aleja Dygasińskiego, Gersona, Kłodzka, Libera, Na Wrzosach nieparzyste od 1 do 53 i parzyste od 2 do 50, Popławskiego, Promienna, Prosta, Smolarzy, Snycerska nieparzyste od 1 do 39 i parzyste od 2 do 40, Szara, Śnieżna, Wielicka parzyste od 160 do 200, Żniwna"
278,279,"Zespół Szkół Ogólnokształcących Nr 10, Al.Dygasińskiego 15, Kraków",Powszechny,Tak,"Czorsztyńska, Jarosławska, Na Kozłówce 5, 5/10-11, 13, 15, 17, 19, Niedzicka, Nowosądecka 5a, Profesora Seweryna, Stattlera, Wielicka nieparzyste od 143 do 223, Wolska, Zieleniec"
279,280,"Szkoła Podstawowa Nr 123, ul. Okólna 16, Kraków",Powszechny,Tak,"Facimiech, Okólna parzyste od 20 do 28, Polonijna, Wielicka nieparzyste od 225 do 259"
280,281,"Szkoła Podstawowa Nr 123, ul. Okólna 16, Kraków",Powszechny,Tak,"Na Kozłówce 14, 16, 24, 29, 31, 33, 41, Wlotowa"
281,282,"Szkoła Podstawowa Nr 123, ul. Okólna 16, Kraków",Powszechny,Tak,"Na Kozłówce 12, 12a, 20, Okólna 1, 3, 7, 9, 11, 13"
282,283,"Gimnazjum Nr 31, ul. Spółdzielców 5 Kraków",Powszechny,Tak,"Okólna 2, 4, 5, 6, 8, 10, 12, 14, 16, 18, Spółdzielców nieparzyste od 1 do 13"
283,284,"Gimnazjum Nr 31, ul. Spółdzielców 5, Kraków",Powszechny,Tak,"Na Kozłówce 2, 4, 4a, 7, 8, 9, Nowosądecka 1, 3, 5, Spółdzielców 2, 4, 6, 8, 10, 12, 15, 15a, 17"
284,285,"Gimnazjum Nr 31, ul. Spółdzielców 5, Kraków",Powszechny,Tak,"Nowosądecka (bez 1, 3, 5, 5a) oraz bez (22, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 72, 74, 78, 80, 82)"
285,286,"Przedszkole Samorządowe Nr 11, ul. Saska 11, Kraków",Powszechny,Nie,"Gromadzka, Heweliusza, Koźlarska, Krzywda, Nowohucka 67, 69, 90, 92 , 92a, Paproci, Płaszowska, Powstańców Wielkopolskich parzyste od 16 i nieparzyste od 11, Pułkownika Kuklińskiego , Sarmacka, Saska nieparzyste, Strycharska, Stróża Rybna, Szklarska, Wodna parzyste od 12 i nieparzyste od 17"
286,287,"Przedszkole Samorządowe Nr 11, ul. Saska 11, Kraków",Powszechny,Nie,"Koszykarska, Nowohucka 13b, 33, 37, 39, 41, 43, 45, 47, 49, 51, 53, Księdza Turka"
287,288,"Szkoła Podstawowa Nr 47, ul. Myśliwska 64, Kraków",Powszechny,Tak,"Gumniska, Księdza Stoszki, Lasówka, Myśliwska (bez parzystych od 70 do 78), Przewóz nieparzyste od 1 do 43, 51, 53, 55 i parzyste od 2 do 36, 36a, 36b, 40, 40a, Saska parzyste, Szczecińska, Szczygla, Zadworze"
288,289,"Szkoła Podstawowa Nr 47, ul. Myśliwska 64, Kraków",Powszechny,Tak,"Lipska nieparzyste, Mały Płaszów, Myśliwska parzyste od 70 do 78"
289,290,"Zespół Szkół Zawodowych Nr 2, ul. Goszczyńskiego 44, Kraków",Powszechny,Nie,"Batki, Goszczyńskiego, Iłowa, Kacza, Kolejowa 4a, Lipska parzyste, Łanowa (bez 39 i 41, 41a, 41b, 43, 43d, 43e), Rzebika, Żołnierska, Żeńców, Źródlana"
290,291,"Zespół Szkół Zawodowych Nr 2, ul. Goszczyńskiego 44, Kraków",Powszechny,Nie,"Bagrowa, Biskupińska, Brandla, Danalówka 37, 39, 41, Pułkownika Dąbka, Gliniana, Golikówka nieparzyste od 1 do 89a i parzyste od 2 do 36, Grochowa , Kosiarzy, Kozia, Motyla, Mierzeja Wiślana, Obrońców Modlina, Siemienowicza, Sudecka, Surzyckiego, Węglarska"
291,292,"Szkoła Podstawowa Nr 65, ul. Golikówka 52, Kraków",Powszechny,Tak,"Agawy, Albatrosów, Botewa, Bukowa, Golikówka nieparzyste od 91 i parzyste od 38, Jeżów, Kawowa, Kormoranów, Księdza Targosza, Półłanki nieparzyste od 33 i parzyste od 78 do108, Przy Cegielni, Rączna nieparzyste od 1 do 25c parzyste od 2 do 42, Rybitwy, Skromna, Szparagowa, Strażacka"
292,293,"Szkoła Podstawowa Nr 137, ul. Wrobela 79, Kraków",Powszechny,Tak,"Bartników, Pułkownika Barty, Bugaj, Czeczotta, Dymnik, Husarska, Kminkowa, Kotówka, Łutnia, Osikowa, Pod Gwiazdami, Pod Wierzbami, Rączna parzyste od 44 i nieparzyste od 27, Traczy, Tyrczanka, Wrobela"
293,294,"Szkoła Podstawowa Nr 26, ul. Krasickiego 34, Kraków",Powszechny,Tak,"Czackiego, Kalwaryjska nieparzyste od 61 i parzyste od 70, Konopnickiej parzyste od 38 do 94, Mitery, Orawska, Przedwiośnie, Śliska , Spiska, Szaflarska"
294,295,"Szkoła Podstawowa Nr 26, ul. Krasickiego 34, Kraków",Powszechny,Tak,"Generała Kutrzeby, Kalwaryjska nieparzyste od 37 do 59 i parzyste od 40 do 68, Krasickiego, Smolki od 7"
295,296,"Zespół Ekonomiki Oświaty Kraków Południe, ul. Sokolska 13, Kraków",Powszechny,Nie,"Długosza, Kalwaryjska nieparzyste od 9 do 35 i parzyste od 10 do 38, Legionów Piłsudskiego parzyste, Plac Serkowskiego, Rejtana, Sokolska, Władysława Warneńczyka"
296,297,"Ośrodek Szkolno - Wychowawczy Nr 2 im. J. Korczaka, ul. Zamoyskiego 100",Powszechny,Nie,"Czyżówka, Kalwaryjska 35a, Krzemionki, Podskale, Przełęcz, Redemptorystów, Smolki od 1 do 6, Stroma, Zamoyskiego od 8"
297,298,"Urząd Miasta Krakowa, Rynek Podgórski 1, Kraków",Powszechny,Tak,"Brodzińskiego, Celna, Kalwaryjska od 1 do 8, Legionów Piłsudskiego nieparzyste, Limanowskiego od 1 do 4, Plac Niepodległości, Przy Moście, Rynek Podgórski, Staromostowa, Zamoyskiego od 1 do 7"
298,299,"Szkoła Podstawowa Nr 29, Al. Dembowskiego 12, Kraków",Powszechny,Tak,"Aleja Dembowskiego, Aleja Powstańców Śląskich, Kamieńskiego od 1 do 20, Kraka, Parkowa od 11 , Plac Lasoty, Radosna"
299,300,"Gimnazjum Nr 35, ul. Limanowskiego 60/62, Kraków",Powszechny,Tak,"Aleja Pod Kopcem, Kopiec Krakusa, Lanckorońska, Ludowa, Maryewskiego, Plac Przystanek, Powstańców Wielkopolskich parzyste od 2 do 14 i nieparzyste od 1 do 9, Robotnicza, Swoszowicka, Wapienna, Wielicka nieparzyste od 1 do 57 i parzyste od 2 do 70, Za Torem, Zamknięta"
300,301,"Gimnazjum Nr 35, ul. Limanowskiego 60/62, Kraków",Powszechny,Tak,"Dąbrówki, Janowa Wola, Kącik, Lwowska nieparzyste od 1 do 17, 25 i parzyste od 2 do 8, Na Zjeździe, Plac Bohaterów Getta, Solna, Targowa, Traugutta"
301,302,"Gimnazjum Nr 35, ul. Limanowskiego 60/62, Kraków",Powszechny,Tak,"Dąbrowskiego, Hetmańska, Józefińska nieparzyste od 43, Limanowskiego nieparzyste od 25 i parzyste od 36, Lwowska parzyste od 10 do 42 i nieparzyste od 43 do 49, Świętej Kingi, Tarnowskiego"
302,303,"Gimnazjum Nr 34, ul. Potebni 7, Kraków",Powszechny,Nie,"Czarnieckiego (bez 3), Krakusa od 1 do 11, Parkowa od 1 do 10a, Porucznika Stawarza, Potebni, Rękawka, Świętego Benedykta, Tatrzańska, Węgierska nieparzyste od 1 do 9 i parzyste od 2 do 12"
303,304,"Szkoła Muzyczna I Stopnia, ul. Józefińska 10, Kraków",Powszechny,Nie,"Józefińska nieparzyste od 1 do 41 i parzyste od 2, Krakusa nieparzyste od 13 i parzyste od 12, Limanowskiego nieparzyste od 5 do 23 i parzyste od 6 do 34, Nadwiślańska, Piwna, Węgierska parzyste od 14 i nieparzyste od 11"
304,305,"Przedszkole Samorządowe Nr 91, ul. Dekerta 18, Kraków",Powszechny,Nie,"Dekerta, Herlinga-Grudzińskiego, Kiełkowskiego, Klimeckiego, Lipowa, Mydlarska, Na Dołach, Niwy, Na Zakolu Wisły, Pana Tadeusza, Portowa, Przemysłowa, Romanowicza, Stoczniowców, Ślusarska, Wałowa, Zabłocie, Zaułek"
305,306,"Niepubliczny Zakład Opieki Zdrowotnej Krakowskie Centrum Terapii Uzależnień, ul. Wielicka 73, Kraków",Powszechny,Nie,"Abrahama 6, Drewniana, Dworcowa parzyste, Jerozolimska, Siemomysła nieparzyste, Wielicka nieparzyste od 59 do 97 i 101, Wodna parzyste od 2 do 10 i nieparzyste od 1 do 15A"
306,307,"Urząd Miasta Krakowa, ul. Wielicka 28a",Powszechny,Tak,"Dworcowa nieparzyste, Dworzec, Prokocimska, Wielicka parzyste od 72 do 112"
307,308,"Zespół Szkół Mechanicznych Nr 2, Al. Skrzyneckiego 12, Kraków",Powszechny,Nie,"Aleja Generała Skrzyneckiego, Biskupa Hodura, Bonarka, Brożka 1, 3, 85, Głogowska, Grzybki, Kobierzyńska 2, 4, 4A, 6, 14, Księdza Tischnera, Łagiewnicka, Rydlówka, Rzemieślnicza, Szafrana, Wadowicka"
308,309,"Szkoła Podstawowa Nr 156,  Centralna 39 Kraków",Powszechny,Nie,"Aleja Pokoju 58, 60, 71, 78, 80, 81, 84, 87, 89, 90, Centralna 5, 28, 30, 34, Kamionka, Na Łąkach 2, 7, 18, 22, Nowohucka 1, 3, Woźniców"
309,310,"Szkoła Podstawowa Nr 156,  Centralna 39 Kraków",Powszechny,Nie,"Centralna 38, 38a, 42, 43, 43a, 44, 45, 47, 50, 51a, 55, 69, 73, Sołtysowska od 1 do 47/bez 13d/, Sikorki"
310,311,"Szkoła Podstawowa Nr 156 ul. Centralna 39, Kraków",Powszechny,Nie,"Centralna 3, 20, 22, 24, 26, Dolna, Dolnomłyńska, Gałczyńskiego, Kwiatów Polskich, Narciarska, Nastrojowa, Poleska, Strumyk, Tabaczna, Tuwima"
311,312,"Gimnazjum Nr 48 os. Kolorowe 29, Kraków",Powszechny,Nie,"Aleja Jana Pawła II parzyste od 128 do 196, Bieńczycka 1, 3, Biskupa Tomickiego 4, 13, 13a, 17, 19, Jutrzenka, Księdza Zastawniaka, Śliwkowa, Wężyka"
312,313,"Szkoła Podstawowa Nr 155,  os. 2 Pułku Lotniczego 21 Kraków",Powszechny,Nie,"Bieńczycka 9, 11, 13, 13a.13b, 15, 17, Osiedle 2 Pułku Lotniczego 1 do 11"
313,314,Szkoła Podstawowa Nr 155 os. 2 Pułku Lotniczego 21 Kraków,Powszechny,Nie,"Aleja Jana Pawła II 33, 33a 68 a, 72, 78 , 78 a, 80, 82, 84, 84 c, 87, 88, 90, 92, 96, 98, 102, 104, 106, 108, 114, 116, 118, 122, 124, 126 , Boguszówka, Czyżyńska 21, Markowskiego 4, 6, 8, 10, Osiedle 2 Pułku Lotniczego od 41 do 51, Wysockiej, "
314,315,"Szkoła Podstawowa Nr 155 os. 2 Pułku Lotniczego 21,Kraków",Powszechny,Nie,Osiedle 2 Pułku Lotniczego od 12 do 40
315,316,"Zespół Szkół Ogólnokształcących Nr 14,  Os. Dywizjonu 303, bl.66 Kraków",Powszechny,Tak,"Osiedle Dywizjonu 303 18, 19, 19c, 19d, 21, 21c, 23, 25, 26, 27, 28"
316,317,"Zespół Szkół Ogólnokształcących Nr 14,  Os. Dywizjonu 303, bl. 66 Kraków",Powszechny,Tak,"Osiedle Dywizjonu 303  30, 36, 37, 39, 40, 41, 42, 43, 44, 76"
317,318,"Zespół Szkół Ogólnokształcących Nr 14,  Os. Dywizjonu 303, bl. 66 Kraków",Powszechny,Tak,Osiedle Dywizjonu 303 od 45 do 51
318,319,Zespół Szkół Ogólnokształcących Nr 14 os. Dywizjonu 303 bl. 66 Kraków,Powszechny,Tak,"Osiedle Dywizjonu 303 od 52 do 58, 62, 62a, 63, 64, 67, 75"
319,320,Zespół Szkół Ogólnokształcących Nr 14 os. Dywizjonu 303 bl. 66 Kraków,Powszechny,Tak,Osiedle Dywizjonu 303 od 1 do 10
320,321,"Zespół Szkół Ogólnokształcących Nr 14 os. Dywizjonu 303 Bl. 66, Kraków",Powszechny,Tak,"Osiedle Dywizjonu 303 od 11 do 17, 66a"
321,322,"Urząd Miasta Krakowa Archiwum ul. Na Załęczu 3, Kraków",Powszechny,Nie,"Cichociemnych AK, Ciepłownicza, Cuplowa, Do Wisły, Habina, Isep, Longinusa Podbipięty 1, 19, 19a, 21, 21a, 39a, 62, 64, 74, 78c, d, e, 80b, 82b, 86 Łęgowa, Na Załęczu, Niepokalanej Panny Marii , Niepołomska, Odmętowa Nr 14, 14b, 16, 96, 98 , 107, Ogłęczyzna, Osiedle, Plac Błonie - Beszcz, Podleska, Sierpowa, Siwka, Skręcona, Sochy, Stręcka, Szafrańska, Wiklinowa, Zajęcza, Zapusta,  Ziarkowa 4, 8"
322,323,"Międzynarodowe Centrum Kształcenia ul. Skarżyńskiego 1, Kraków",Powszechny,Nie,"Akacjowa 10, 12, Cieślewskiego 1, 3, 5, 7, 9, 11, 13, 15, 17, Osiedle Akademickie, Skarżyńskiego"
323,324,"Przedszkole Nr 177 os. Kombatantów 13, Kraków",Powszechny,Nie,"Osiedle Kombatantów od 1 do 15, Czaplickiego"
324,325,"Młodzieżowy Dom Kultury im. A. Bursy, Os. Tysiąclecia 15 Kraków",Powszechny,Nie,Osiedle Tysiąclecia od 1 do 14
325,326,Młodzieżowy Dom Kultury im. A. Bursy os. Tysiąclecia 15 Kraków,Powszechny,Nie,Osiedle Tysiąclecia od 15 do 27
326,327,"Młodzieżowy Dom Kultury im.A.Bursy os. Tysiąclecia 15, Kraków",Powszechny,Nie,Osiedle Tysiąclecia od 28 do 56
327,328,Szkoła Podstawowa Nr 126 os. Tysiąclecia 57 Kraków,Powszechny,Nie,"Miśnieńska od 72 do 85, Osiedle TYsiąclecia od 57 do 66, 76, 78, 83, 85, 86"
328,329,"Szkoła Podstawowa Nr 126,  Os. Tysiąclecia 57, Kraków",Powszechny,Nie,"Osiedle Oświecenia od 1 do 8, od 14 do 17"
329,330,"Szkoła Podstawowa Nr 130, Os. Oświecenia 30 Kraków",Powszechny,Nie,"Osiedle Oświecenia 40, 42, 43, 46, 46a, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57"
330,331,"Szkoła Podstawowa Nr 130, Os. Oświecenia 30 Kraków",Powszechny,Nie,"Osiedle Oświecenia 35, 36, 37, 38, 39, 41"
331,332,"Szkoła Podstawowa Nr 130,  Os. Oświecenia 30 Kraków",Powszechny,Nie,"Osiedle Oświecenia od 9 do 13, 33, 33a"
332,333,"Szkoła Podstawowa Nr 130, Os. Oświecenia 30 Kraków",Powszechny,Nie,Osiedle Oświecenia od 18 do 27
333,334,"Szkoła Podstawowa Nr 130 Os. Oświecenia 30, Kraków",Powszechny,Nie,"Aleja Generała Bora Komorowskiego ( bez Nr 9, 9a, 15, 15a, b, 17, 23, 33/ ), Dobrego Pasterza 124, Kniaźnina 6, 12, Krzesławicka 2 a, 2 b, Osiedle Oświecenia od 28 do 32, 34, 44, 45"
334,335,"Ośrodek Kultury im. C. K. Norwida - Klub ""Kuźnia"", Os. Złotego Wieku 14 Kraków",Powszechny,Nie,Osiedle Złotego Wieku od 1 do 15
335,336,"Ośrodek Kultury im. C.K.Norwida Klub ""Kuźnia""os. Złotego Wieku 14, Kraków",Powszechny,Nie,Osiedle Złotego Wieku od 16 do 32
336,337,"Gimnazjum Nr 37, Os. Złotego Wieku 36, Kraków",Powszechny,Nie,Osiedle Złotego Wieku od 33 do 52
337,338,"Gimnazjum Nr 37 os. Złotego Wieku 36, Kraków",Powszechny,Nie,Osiedle Bohaterów Września od 57 do 81
338,339,"Szkoła Podstawowa Nr 85, Os. Złotego Wieku 4 Kraków",Powszechny,Nie,"Baziaka, Budziszyńska, Korony Polskiej, Księdza Kuczkowskiego, Księdza Kurzei, Mosdorfa, Na Zboczu, Orła Białego, Osiedle Złotego Wieku od 68 do 71 i od 74 do 85, 93, 94, Parnickiego, Wawelska 8, 10, 12, 14, 16, Zawieyskiego, Zjazdu Gnieźnieńskiego"
339,340,"Szkoła Podstawowa Nr 85 os. Złotego Wieku 4, Kraków",Powszechny,Nie,"Osiedle Złotego Wieku od 53 do 67, Wawelska 6"
340,341,"Szkoła Podstawowa Nr 144,  Os. Bohaterów Września 13 Kraków",Powszechny,Tak,Osiedle Bohaterów Września od 1 do 5
341,342,"Szkoła Podstawowa Nr 144,  Os. Bohaterów Września 13 Kraków",Powszechny,Tak,Osiedle Bohaterów Września od 6 do 14
342,343,"Szkoła Podstawowa Nr 144,  Os. Bohaterów Września 13 Kraków",Powszechny,Tak,Osiedle Bohaterów Września od 26 do 38
343,344,Szkoła Podstawowa Nr 144 Os. Bohaterów Września 13 Kraków,Powszechny,Tak,Osiedle Bohaterów Września od 39 do 55
344,345,"Szkoła Podstawowa Nr 144,  Os.Bohaterów Września 13 Kraków",Powszechny,Tak,Osiedle Bohaterów Września od 15 do 25
345,346,"Szkoła Podstawowa Nr 89,  Os. Piastów 34a Kraków",Powszechny,Nie,Osiedle Piastów od 1 do 11
346,347,"Szkoła Podstawowa Nr 89, Os. Piastów 34a Kraków",Powszechny,Nie,"Osiedle Piastów od 12 do 17a, 29, 34, 34a, Osiedle Mistrzejowice 14"
347,348,"Szkoła Podstawowa Nr 89, Os. Piastów 34a Kraków",Powszechny,Nie,"Osiedle Piastów od 18 do 28, Osiedle Mistrzejowice 13"
348,349,"Szkoła Podstawowa Nr 89 os. Piastów 34a, Kraków",Powszechny,Nie,Osiedle Piastów od 30 do 44 /bez 34 i 34a/
349,350,Zespół Szkół Salezjańskich os. Piastów 34 Kraków,Powszechny,Nie,"Dmowskiego, Do Fortu, Generała Okulickiego 44, 60, 66, Korfantego, Królowej Marysieńki, Księdza Kardynała Sapiehy, Księdza Mazanka, Marycjusza, Mistrzejowicka, Osiedle Mistrzejowice od 1 do 53, /bez Nr 13, 14/"
350,351,Zespół Szkół Salezjańskich os. Piastów 34 Kraków,Powszechny,Nie,"Dziekanowicka, Osiedle Piastów od 45 do 61, 65 Powstańców parzyste od 54 do 62A, 64, 121, 123, 125, 125a, 127, 129"
351,352,"Publiczna Szkoła Podstawowa Sióstr Salezjanek im. Błogosławionej Laury Vicuna,  Os. Kościuszkowskie 7 Kraków",Powszechny,Nie,Osiedle Kościuszkowskie od 1 do 8
352,353,Publiczna Szkoła Podstawowa Sióstr Salezjanek im. Błogosławionej Laury Vicuna os. Kościuszkowskie 7 Kraków,Powszechny,Nie,Osiedle Kościuszkowskie od 9 do 11
353,354,"Zespół Szkół Ogólnokształcących Nr 3, Os. Wysokie 6 Kraków",Powszechny,Nie,"Osiedle Na Lotnisku 1, 2, 4, 6, od 19 do 21"
354,355,"Zespół SZkół Ogólnokształcących Nr 3 os. Wysokie 6, Kraków",Powszechny,Nie,"Osiedle Na Lotnisku 3, od 7 do 18a, Króla"
355,356,Szkoła Podstawowa Nr 104 Os. Wysokie 7 Kraków,Powszechny,Nie,Osiedle Strusia od 1 do 6
356,357,"Szkoła Podstawowa Nr 104 os. Wysokie 7, Kraków",Powszechny,Nie,"Osiedle Wysokie od 1 do 22c, Urszulki, Złoczowska"
357,358,"Gimnazjum Nr 42,  Os. Strusia 19 Kraków",Powszechny,Nie,Osiedle Strusia od 7 do 12
358,359,"Gimnazjum Nr 42 os. Strusia 19, Kraków",Powszechny,Nie,"Osiedle Strusia od 13 do 20, Bogusza"
359,360,"Szkoła Podstawowa Nr 82, Os. Kalinowe 17 Kraków",Powszechny,Nie,Osiedle Kalinowe od 1 do 11
360,361,"Szkoła Podstawowa Nr 92,  Os. Kalinowe 18 Kraków",Powszechny,Nie,Osiedle Kalinowe od 12 do 17
361,362,Szkoła Podstawowa Nr 92 Os. Kalinowe 18 Kraków,Powszechny,Nie,Osiedle Kalinowe od 18 do 24
362,363,"Zespół Szkół Ogólnokształcących Nr 16, Os. Niepodległości 19 Kraków",Powszechny,Nie,Osiedle Niepodległości od 1 do 7
363,364,"Zespół Szkół Ogólnokształcących Nr 16 os. Niepodległości 19, Kraków",Powszechny,Nie,Osiedle Niepodległości od 8 do 19
364,365,"Szkoła Podstawowa Nr 100, Os. Albertyńskie 36 Kraków",Powszechny,Nie,Osiedle Albertyńskie od 12 do 21
365,366,"Szkoła Podstawowa Nr 100,  Os. Albertyńskie 36 Kraków",Powszechny,Nie,"Małego Księcia, Osiedle Albertyńskie od 22 do 30"
366,367,"Szkoła Podstawowa Nr 100, Os. Albertyńskie 36,Kraków",Powszechny,Nie,"Osiedle Albertyńskie 1, 2 i od 31 do 38"
367,368,"Szkoła Podstawowa Nr 86,  Os. Jagiellońskie 18 Kraków",Powszechny,Nie,"Osiedle Przy Arce od 1 do 8, POrucznika Szczeklika"
368,369,"Szkoła Podstawowa Nr 86,  Os. Jagiellońskie 18 Kraków",Powszechny,Nie,Osiedle Przy Arce od 9 do 12 i 14
369,370,Szkoła Podstawowa Nr 86 os. Jagiellońskie 18 Kraków,Powszechny,Nie,Osiedle Przy Arce  13 i od 15 do 19
370,371,"Zespół Szkół Gastronomicznych Nr 1,  Os. Złotej Jesieni 16 Kraków",Powszechny,Nie,"Osiedle Przy Arce od 20 do 26, Batalionu Parasol"
371,372,Zespół Szkół Gastronomicznych Nr 1 os. Złotej Jesieni 16 Kraków,Powszechny,Nie,"Andersena, Bulwarowa nieparzyste, Cienista, Fatimska, Kaczeńcowa, Kocmyrzowska 3, 5, 7, 7a, Makuszyńskiego nieparzyste, Odmogile, Podrzecze od 2 do 28, Stadionowa, Szybka, Wojciechowskiego"
372,373,"Zespół Szkół Zawodowych Huty im. T.Sendzimira SA os. Złotej Jesieni 2, Kraków",Powszechny,Nie,"Generała Okulickiego 53, 55, 57, Obrońców Krzyża 1 osiedle Jagiellońskie od 1 do 8, 27, 37 Osiedle Złotej Jesieni /bez 1/ , Łopackiego"
373,374,"Szkoła Podstawowa Nr 101,  Os. Jagiellońskie 9 Kraków",Powszechny,Nie,"Anny Jagiellonki, Barbary Radziwiłłówny, Królowej Bony, Osiedle Jagiellońskie od 9 do 26, od 28 do 36"
374,375,"Szkoła Podstawowa Nr 101 os. Jagiellońskie 9, Kraków",Powszechny,Nie,Osiedle Kazimierzowskie od 26 do 34
375,376,"Gimnazjum Nr 41,  Os. Jagiellońskie 17 Kraków",Powszechny,Nie,"Osiedle Kazimierzowskie od 1 do 15,  Spytka z Melsztyna"
376,377,"Gimnazjum Nr 41 os. Jagiellońskie 17, Kraków",Powszechny,Nie,"Osiedle Kazimierzowskie od 18 do 25, Elżbiety Łokietkówny"
377,378,"Ośrodek Kultury Kraków Nowa Huta Klub""Krzesławice"" ul. Wańkowicza 17, Kraków",Powszechny,Nie,"Kleinera, Kocmyrzowska parzyste od 2 do 6, nieparzyste od 9 do 19, Krasnowolskiego, Lehra-Spławińskiego, Łempickiego, Łowińskiego 1, Makuszyńskiego parzyste, Polskiego Czerwonego Krzyża, Przebindowskiego, Wańkowicza (bez 8, 14, 14a, 16, 20, 22), Wąwozowa"
378,379,"Szkoła Podstawowa Nr 129, Os. Na Wzgórzach 13a Kraków",Powszechny,Nie,"Osiedle Na Wzgórzach od 1 do 10, od 36 do 44, 59"
379,380,"Szkoła Podstawowa Nr 129,  Os. Na Wzgórzach 13a Kraków",Powszechny,Nie,"Osiedle Na Wzgórzach od 11 do 13A, od 28 do 35"
