,nr,adres,typ,niep,granice
201,202,"Centrum Aktywnego Wypoczynku Klub Sportowy ""BOREK"", ul. Żywiecka 13, Kraków",Powszechny,Tak,"Goryczkowa, Jagodowa parzyste od 2 do 12 i nieparzyste od 11 do 19, Kępna, Żywiecka parzyste od 12 do 48"
202,203,"Centrum Sztuki Współczesnej ""Solvay"", ul. Zakopiańska 62, Kraków",Powszechny,Tak,"Borowinowa 77, Jeleniogórska, Jugowicka parzyste, Herberta 8, 10, 12, 14, Marcika, Modra, Orzechowa, Podmokła, Sielska, Zakopiańska parzyste od 54 do 86 i nieparzyste od 99 do 145, Osiedle Zaułek Jugowicki, Zawiła nieparzyste od 1 do 49"
203,204,"Zespół Szkół Ogólnokształcących Nr 17, ul. Fredry 65, Kraków",Powszechny,Nie,"Chmielna nieparzyste, Chochołowska, Do Sanktuarium Bożego Miłosierdzia, Fredry, Generała Roi 4, 4a, 4b, 6, Goslara, Harcerska, Harcmistrza Millana ( bez nr 22), Kołodziejska, Kurasia, Kwietna, Lechicka, Malutka, Motarskiego, Myślenicka nieparzyste od 1 do 45 i parzyste od 2 do 32, Na Grządkach, Ogrodniki, Pasieczna, Pierzchówka parzyste, Pocztowa, Połomskiego, Porucznika Wąchały, Przykopy nieparzyste od 1 do 7, Przy Torze, Ratajska, Siostry Faustyny, Strumienna nieparzyste i parzyste od 2 do 14, Sucha, Sowia, Sobótka, Urocza, Włodarska, Zakopiańska parzyste od 2 do 52a, Żmichowskiej"
204,205,"Miejskie Przedsiębiorstwo Komunikacyjne, ul. Brożka 3, Kraków",Powszechny,Tak,"Bogdanowicza, Borsucza 1, 3, 3a i parzyste od 2 do 8, Brożka parzyste, Cegielniana nieparzyste od 1 do 45, Kędzierzyńska, Kołobrzeska, Koszalińska, Lasek, Nowotarska, Pienińska, Plac Łagiewnicki, Słupska, Szaniawskiego, Wałbrzyska, Zielonogórska"
205,206,"Miejskie Przedsiębiorstwo Komunikacyjne, ul. Brożka 3, Kraków",Powszechny,Tak,"Cegielniana parzyste od 2, Ciesielska, Deotymy, Do Wilgi, Hoffmanowej, Oraczy, Zakopiańska nieparzyste od 1 do 71"
206,207,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 3 ul. Strąkowa 3a, Kraków",Powszechny,Tak,"Borsucza nieparzyste od 5 i parzyste od 10, Cegielniana nieparzyste od 47, Kusocińskiego, Lipińskiego 11, 13, 15, 17, Strąkowa, Odrzańska"
207,208,"Klub Kultury ""Kosocice"", ul. Sztautyngera 5, Kraków",Powszechny,Nie,"Barycka, Blacharska, Gacki, Gąsiorowskiego, Gruszczyńskiego nieparzyste od 1 do 31 i parzyste od 2 do 42, Hallera parzyste od 16 i nieparzyste od 9, Harcerzy Krakowskich, Hoborskiego, Kosocicka 73, 75, 75 a, 75 b,  Koszutki, Krzemieniecka nieparzyste od 35 i parzyste od 34, Lande, Niebieska od 11, Osterwy nieparzyste od 1 do 19 a, parzyste od 2 do 16, Pawłowskiego, Sczanieckiej, Szczegów, Sztaudyngera, Żelazowskiego"
208,209,"Klub Osiedlowy, ul. Kuryłowicza 115, Kraków",Powszechny,Nie,"Berdyczowska, Chanieckiej, Drużbackiej, Geologów, Gombrowicza, Gruszczyńskiego parzyste od 44 i nieparzyste od 33, Jarockiego, Jasiukowicza, Krzemieniecka nieparzyste od 1 do 33 i parzyste od 2 do 32, Kukiełek Golkowickich, Kuryłowicza nieparzyste od 71 i parzyste od 52, Malinowskiego, Na Obrydki, Pajdaka, Ratajskiego, Schőnborna"
209,210,"Stowarzyszenie Rajska-Szkoła, ul. Tuchowska 113, Kraków",Powszechny,Nie,"Bełzy, Do Luboni od 61, Droga Rokadowa, Gdowska, Golkowicka, Grawerska, Kenara nieparzyste od 1 do 35, 35 a, parzyste od 2 do 18, Kuryłowicza nieparzyste od 1 do 69, parzyste od 2 do 50, Landaua nieparzyste, Matematyków Krakowskich nieparzyste od 1 do 27, 27a, Miarowa nieparzyste od 37 i parzyste od 20, Na Pokusie, Nad Fosą, Orszańska, Osterwy nieparzyste od 21 i parzyste od 18, Rytownicza, Szczawnicka, Tuchowska nieparzyste od 41 i parzyste od 50"
210,211,"Filia Szkoły Podstawowej Nr 43, ul. Zbydniowicka 1, Kraków",Powszechny,Nie,"Gołąba, Lei, Matematyków Krakowskich parzyste od 26 i nieparzyste od 57, Opiala, Szarskiego, Zbydniowicka"
