,granice,nr,lat,lon
20,"czapskich, garncarska parzyste od 2 do 26, jab³onowskich, kapucyñska, krupnicza parzyste od 2 do 30, loretañska, podwale, plac genera³a sikorskiego, straszewskiego od 23 do 29, studencka",21,50.0606149,19.9301171
21,"aleja mickiewicza nieparzyste od 25 do 37, czarnowiejska nieparzyste od 1 do 25, 25 a, dolnych m³ynów nieparzyste od 3 do 11, karmelicka parzyste od 6 do 42, kochanowskiego nieparzyste od 1 do 7 i parzyste od 2 do 30, krupnicza nieparzyste od 1 do 21, micha³owskiego nieparzyste od 11 do 19 i parzyste od 2 do 18, rajska, szujskiego",22,50.0659565,19.9250903
22,"aleja mickiewicza nieparzyste od 41 do 63, grabowskiego, karmelicka parzyste od 44 do 70, kochanowskiego nieparzyste od 9 do 25, micha³owskiego nieparzyste od 1 do 9, pawlikowskiego",23,50.0671845,19.9256171
23,"aleja s³owackiego nieparzyste od 1 do 13 a, b, c, d, feldmana, jana sobieskiego, karmelicka nieparzyste od 53 do 57, kremerowska, lenartowicza parzyste od 2 do 14 i nieparzyste od 1 do 13, ³obzowska parzyste od 28 do 40, siemiradzkiego ( bez 1)",24,50.0691164,19.9268593
24,"aleja s³owackiego nieparzyste od 15 do 25, krowoderska parzyste od 46 do 74, ³obzowska nieparzyste od 41 do 61, spasowskiego, staszica, szlak nieparzyste od 1 do 13 i parzyste od 2 do 12, œwiêtej teresy",25,50.0714936,19.929856
25,"dunajewskiego, garbarska, karmelicka nieparzyste od 1 do 51, ³obzowska parzyste od 2 do 26, stefana batorego",26,50.06459779999999,19.9343144
26,"asnyka, biskupia, basztowa od 1 do 10, d³uga parzyste od 2 do 38, fenn`a, krowoderska nieparzyste od 1 do 33 (bez 7) i parzyste od 2 do 44, ³obzowska nieparzyste od 3 do 39 a, 39 b, s³owiañska 2",27,50.0667444,19.9348832
27,"aleja s³owackiego nieparzyste od 27 do 45, d³uga parzyste od 70 do 88, kolberga, krowoderska nieparzyste od 61 do 79, szlak parzyste od 14 do 18, ¿u³awskiego",28,50.0725563,19.9319675
28,"d³uga nieparzyste od 31 do 55 i parzyste od 40 do 64, krowoderska nieparzyste od 35 do 59, pêdzichów parzyste od 2 do 22, szlak nieparzyste od 15 do 45",29,50.0696041,19.9377206
29,"d³uga 27, 29 i nieparzyste od 57 do 65, helclów (bez 2), kamienna nieparzyste od 1 do 13, montelupich (bez 7), ogrodowa, pêdzichów nieparzyste od 1 do 27 i parzyste od 24 do 28, szlak nieparzyste od 47 do 75 i parzyste od 20 do 42, warszawska, wróblewskiego",30,50.068988,19.93837
30,"basztowa od 15, bosacka parzyste od 4 do 32 i 29, d³uga nieparzyste od 1 do 23, krótka, krzywa, kurniki, lubicz parzyste od 10 do 14 a, paderewskiego, pawia, plac nowaka-jeziorañskiego, plac matejki, rynek kleparski, œwiêtego filipa, worcella, zacisze",31,50.06639089999999,19.940126
31,"aleja 29 listopada nieparzyste od 1 do 39 i parzyste od 6 do 36, bêdziñska, biskupa prandoty, bosacka 13, 15, kamienna 15, 16, 17, 19, 35, 45, k¹towa, langiewicza, murowana, otwinowskiego 27,29, rakowicka parzyste od 18 do 30,30 c, rogatka, towarowa, wjazd, ¿elazna",32,50.0896874,19.9582005
32,"aleja p³k. beliny-pra¿mowskiego nieparzyste od 53 do 71, brodowicza parzyste od 16 a do 36, nieparzyste 13, 13 a, eisenberga, garczyñskiego, genera³a bema, genera³a sowiñskiego, grochowska nieparzyste, grunwaldzka od 17, ksiêdza biskupa bandurskiego od 17, moniuszki nieparzyste od 21 do 69 i parzyste od 20 do 48, olszañska nieparzyste od 9 do 31 i parzyste od 12 do 34, ordona, orl¹t lwowskich, supniewskiego, wilka wyrwiñskiego",33,50.0725711,19.9592164
33,"aleja p³k. beliny-pra¿mowskiego nieparzyste od 1 do 7, genera³a ch³opickiego, grunwaldzka od 1 do 10, kielecka od 1 do 18, misio³ka, mogilska parzyste od 22 do 102, rymarska parzyste od 12 do 18 i 5, zaleskiego",34,50.06698429999999,19.9598857
34,"aleja p³k. beliny-pra¿mowskiego nieparzyste od 9 do 51, brodowicza nieparzyste od 1 do 11 i parzyste od 2 do 16, grunwaldzka od 11 do 16, kasprowicza, kielecka od 19, ksiêdza biskupa bandurskiego od 1 do 16, moniuszki od 1 do 19",35,50.0686602,19.9597155
35,"aleja p³k. beliny-pra¿mowskiego parzyste od 2 do 70, ariañska, lubicz parzyste od 44 do 48, lubomirskiego 2 i od 19, mogilska parzyste od 2 do 20, olszañska nieparzyste od 1 do 7a i parzyste od 2 do 10, rakowicka nieparzyste od 27 do 43,43a, topolowa nieparzyste od 25 do 35 i parzyste od 32 do 52",36,50.0702813,19.9592361
36,"botaniczna, bosacka nieparzyste od 5 do 11, kopernika nieparzyste od 13 do 31( bez 19d) i parzyste od 22 do 50 ( bez 36), kurkowa, lubicz nieparzyste od 13 do 29 i parzyste od 16 do 42, lubomirskiego nieparzyste od 1 do 15, rakowicka od 1 do 25 (bez 18, 20, 22, 24), strzelecka , topolowa nieparzyste od 1 do 23 i parzyste od 2 do 30, zygmunta augusta",37,50.06457409999999,19.9549103
37,"boles³awa chrobrego od 1 do 23, domki, grochowska parzyste, idzikowskiego, jaworskiego, ksiêdza ignacego jana skorupki, na wiankach, norwida, rakowicka nieparzyste od 45 do 99, rusa³ek",38,50.0747894,19.959551
38,"boles³awa chrobrego od 24, bratkowa, ciepliñskiego, droga nad bia³uch¹, dukatów, farmaceutów, k¹t, kryniczna, lesista, lotnicza nieparzyste od 1 do 13 i parzyste od 2 do 22, ³ukasiewicza, nadbrze¿na, narzymskiego nieparzyste od 1 do 23 i parzyste od 2 do 32, olszyny, otwinowskiego (bez nr 27,29), stokrotek",39,50.075928,19.962395
39,"aleja pokoju parzyste od 20 do 32, d¹bska, jachowicza, kosynierów, mogilska 109, nizinna, œwitezianki, zwyciêstwa",40,50.0601175,19.9762239
40,"aleja pokoju 31 b, nieparzyste od 37 do 45, na szaniec nieparzyste od 1 do 23, widok parzyste od 2 do 12",41,50.0700009,20.0147265
41,"bajeczna, grzegórzecka nieparzyste od 117 do 119 a, na szaniec parzyste od 2 do 14, miedziana, ofiar d¹bia",42,50.0575961,19.976187
42,"pó³kole, widok nieparzyste od 5 do 41 i parzyste od 14 do 22 a",43,50.0603837,19.981724
43,"bobrowskiego, pu³kownika nullo nieparzyste od 3 do 7 i parzyste od 4 do 6, 8a, aleja pokoju nieparzyste od 1 do 23, 27 a, b i 29,29 a,29 b,",44,50.058485,19.9670027
44,"aleja pokoju parzyste od 10 do 12, pu³kownika nullo nieparzyste od 13 do 23 i parzyste od 10 do 20",45,50.060234,19.965104
45,"aleja pokoju parzyste od 14 do 18, cystersów, fabryczna nieparzyste od 15 do 25 i parzyste od 8 do 20 a, mogilska nieparzyste od 11 do 81, mosiê¿nicza, przy rondzie 7, 53, 55",46,50.060303,19.9664499
46,"fabryczna nieparzyste od 1 do 3 parzyste od 2 do 6, grzegórzecka parzyste od 72 do 104 i nieparzyste od 67 do 101, rogoziñskiego, skrzatów, ¿ó³tej ci¿emki",47,50.058636,19.970464
47,"aleja pokoju parzyste od 2 do 8, aleja powstania warszawskiego parzyste, kordylewskiego, profesora szafera, przy rondzie 2, s¹dowa 4 i nieparzyste od 1 do 9",48,50.0595422,19.963732
